day,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,총확진자수
2020-03-01,91,88,3081,7,9,14,20,1,92,19,11,78,6,5,624,64,2,4212
2020-03-02,98,90,3601,7,11,14,20,1,94,20,11,81,7,5,685,64,3,4812
2020-03-03,99,93,4006,9,13,15,23,1,101,21,11,82,7,5,774,65,3,5328
2020-03-04,103,92,4326,9,14,16,23,1,110,23,12,86,7,5,861,74,4,5766
2020-03-05,105,95,4693,9,13,18,23,1,120,25,15,90,7,5,984,77,4,6284
2020-03-06,108,96,5084,9,13,18,23,2,130,26,20,92,7,4,1049,82,4,6767
2020-03-07,120,97,5381,9,13,18,24,3,141,27,24,98,7,4,1081,83,4,7134
2020-03-08,130,96,5571,9,15,19,24,6,152,28,25,102,7,4,1107,83,4,7382
2020-03-09,141,96,5663,13,15,18,24,8,163,28,25,104,7,4,1117,83,4,7513
2020-03-10,193,98,5794,25,15,18,25,10,175,29,27,112,7,4,1135,84,4,7755
2020-03-11,212,99,5867,25,15,20,25,15,178,29,27,114,7,4,1143,85,4,7869
2020-03-12,225,100,5928,27,15,22,27,32,185,29,27,115,7,4,1147,85,4,7979
2020-03-13,238,103,5990,28,15,22,27,38,200,29,28,115,7,4,1153,85,4,8086
2020-03-14,247,106,6031,30,16,22,28,39,211,29,31,115,7,4,1157,85,4,8162
2020-03-15,253,107,6066,30,16,22,28,40,231,29,31,115,7,4,1164,85,4,8232
2020-03-16,265,107,6098,31,16,22,28,40,262,29,31,115,7,4,1169,86,4,8314
